geo,name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
com,Comoros,82.24782,84.10309,78.98737,75.9268,75.88042,79.25298,82.75741,85.24043,87.07697,87.93836,84.24783,67.65488,70.12582,70.4977,68.25217,79.08192,74.99802,67.36679,71.24889,66.36086,66.10693,59.82286,46.84118
cpv,Cape Verde,26.1287,24.1529,24.34723,25.02545,24.71387,25.47905,24.63915,23.73463,25.38682,25.30021,30.70263,28.73503,27.10365,26.95812,27.80627,30.02395,31.32078,30.85026,30.60895,30.8199,27.32103,22.93706,27.53989
cri,Costa Rica,33.96525,33.18317,32.75107,33.28981,33.75153,35.86635,33.80149,33.69436,32.04027,28.77338,27.47433,29.67764,29.25608,28.96062,28.95439,27.28744,26.64775,26.4372,27.59984,27.46307,28.05781,29.61314,31.01321
cub,Cuba,16.22938,18.70624,19.37736,20.32512,19.5981,14.84367,14.26367,9.78315,8.83752,8.09964,9.18197,10.81638,13.13097,12.27119,9.63887,9.62183,10.28544,10.70138,11.17387,10.85016,8.92001,8.39373,11.13432
cyp,Cyprus,58.39133,57.67678,55.0206,55.46651,58.1655,57.995,56.5741,56.21896,57.92439,56.91585,53.34995,51.64048,53.13868,53.31773,56.38575,56.78712,57.76539,58.11722,57.60596,45.16311,27.92407,17.99921,18.70196
cze,Czech Republic,11.29591,12.55187,11.92583,12.51834,12.3975,14.77375,14.49705,16.20757,19.00501,17.11662,15.11904,15.48921,15.3914,15.54002,16.0341,15.6507,15.49396,15.47888,15.34595,15.44258,12.02019,13.49306,15.22816
deu,Germany,21.79942,21.82749,22.17834,22.59224,24.10654,24.32531,24.76359,24.83541,24.72572,24.34755,24.31048,24.58736,24.5616,23.585,22.97948,23.02902,22.68975,22.32672,22.66117,22.804,21.29272,20.91478,19.67209
dji,Djibouti,45.35928,49.03671,41.71668,35.08443,39.64922,36.11171,31.76416,30.85565,28.65424,27.33037,27.24672,25.22385,24.23509,25.01659,23.93575,20.16645,24.55318,27.70888,28.63025,29.90917,33.61924,28.85829,32.81688
dma,Dominica,33.96136,42.31158,42.88747,41.21708,41.82514,41.15979,41.06095,44.17878,45.60822,43.4386,39.90141,37.82747,36.47715,36.3649,36.75866,35.02061,33.13958,29.3678,31.79001,34.82003,30.49896,24.73311,28.24416
dnk,Denmark,16.89263,16.59432,16.19422,16.09015,16.45092,16.25594,16.12974,16.29171,15.98013,15.54124,15.73355,16.06398,15.6335,15.53843,15.55641,15.74459,15.81835,16.0433,16.25021,16.29055,16.3876,15.74738,16.04586
dom,Dominican Republic,63.13899,62.20699,61.00727,70.365,71.05225,66.30523,63.78225,57.06692,51.72778,50.14858,48.21838,45.38338,43.82303,42.88215,41.07526,40.7707,40.99046,39.34815,37.47459,37.6841,33.54955,31.63907,36.24514
dza,Algeria,27.98438,23.7267,24.67682,23.25557,28.5997,30.62976,31.48499,30.14613,27.96793,29.06444,30.48966,29.36287,28.51179,30.61604,29.82795,31.47014,34.2687,35.34191,35.16588,39.48205,41.22149,42.0589,52.13863
ecu,Ecuador,68.37989,64.61421,67.37608,68.7886,67.71242,69.33354,67.20387,60.44189,59.977,57.39412,52.80362,52.08981,48.64524,42.96457,38.38348,42.18254,39.13533,38.25809,36.30539,37.25939,39.11047,36.36964,38.64349
egy,Egypt,64.81281,65.77966,65.5386,67.21898,66.42459,66.48488,62.40778,62.61994,64.2492,63.34403,66.42754,65.58147,70.91378,70.57223,69.08999,68.55439,68.12286,68.71288,70.8765,70.7588,66.95245,61.69075,60.57745
eri,Eritrea,63.76799,55.92798,46.023,38.93306,35.13972,35.23891,34.70102,44.09306,32.59599,45.82187,48.65536,36.47445,52.55269,48.77749,50.96211,42.9043,59.00008,46.97372,50.77529,46.44068,48.56506,49.67214,54.30679
esp,Spain,28.37117,28.70101,28.68984,28.89611,28.68015,28.41584,27.90028,27.69695,26.71599,24.92775,25.55513,26.51605,27.88638,28.98745,29.72992,28.67883,28.44173,29.48655,29.77,29.48687,26.82979,26.29088,25.97463
est,Estonia,24.1592,21.99961,23.87449,24.14074,25.8421,25.82019,25.03278,24.68651,23.9395,23.30152,24.86433,24.51579,24.47204,25.43498,25.25317,25.37299,25.41054,26.4812,26.38666,25.61013,22.95881,23.9327,25.21231
eth,Ethiopia,42.51675,40.25794,43.13771,39.34572,39.62669,35.61907,42.5152,39.99725,41.2254,46.9009,48.28907,53.9432,48.55955,49.7431,58.84427,56.48738,54.76727,39.70266,40.65381,43.12816,37.31851,41.18187,49.41658
fin,Finland,24.26509,23.77338,23.16973,22.68163,22.16,22.19062,21.25458,21.37724,21.17243,20.96935,21.4497,20.82777,20.1928,20.53726,20.44188,21.43538,22.1652,21.9847,21.43918,19.80099,18.6606,18.65327,18.27225
fji,Fiji,15.30574,18.61189,17.39833,18.15504,18.29717,17.07183,21.38614,24.19896,24.14659,31.16549,29.79325,34.98677,34.65882,36.5322,34.5952,34.33353,33.00948,31.44372,32.78167,29.95571,37.66967,41.45871,13.53397
fra,France,27.27092,27.24163,26.99801,27.36457,27.35443,27.45206,28.72631,28.90325,29.37331,29.31966,29.55679,29.7943,29.70903,29.7766,29.75336,27.94678,25.15073,24.40655,24.46567,25.08791,23.40508,24.18718,24.57254
fsm,"Micronesia, Fed. Sts.",5.30324,5.26112,5.88303,5.29237,14.69258,12.225,12.06859,11.41495,10.17965,8.99531,7.39194,12.11835,12.76586,12.86174,14.05148,13.42561,13.85776,16.00885,16.8739,16.24227,12.61178,9.77643,11.9133
gab,Gabon,61.20356,58.55421,62.28355,57.71537,57.58762,60.08545,58.93818,58.21201,59.83354,58.30997,35.30841,36.92001,38.26753,35.45914,39.11923,40.26912,34.61646,36.1066,40.17887,39.1209,33.57963,36.88603,32.29294
gbr,UK,24.19361,24.19175,23.25828,21.81011,19.90604,18.75731,17.56758,19.43297,18.69197,17.2352,17.88282,18.0961,18.96824,20.41882,19.82397,19.59931,18.99878,19.43835,20.06733,20.04782,14.96517,15.67808,16.92373
geo,Georgia,81.43177,77.25147,77.79633,79.91513,80.53856,80.82902,78.74306,78.59892,71.73913,73.14867,75.05051,79.1381,77.13373,73.42503,69.9187,61.88964,61.102,60.40126,60.00318,58.65617,55.32361,45.97179,57.39147
gha,Ghana,53.5006,47.39637,45.22363,40.45747,36.47108,26.42293,37.79713,42.15453,43.6575,37.2365,36.44127,35.23625,41.01331,42.97641,49.23331,39.98605,48.84698,24.6775,35.72509,30.70256,25.01641,30.8196,28.75228
gin,Guinea,65.73227,63.76576,59.73017,62.85508,69.83982,70.50602,71.55989,72.67924,71.75925,73.27515,69.988,60.63142,63.33568,63.30141,68.72945,69.14717,60.46854,75.1626,72.69209,66.67957,67.7678,59.0242,60.87397
gmb,Gambia,16.01718,15.90632,15.94592,15.49448,14.78163,16.27359,17.81791,20.06118,21.70171,22.45925,23.61209,24.36157,24.51769,26.29425,36.22049,33.61744,32.90966,31.68759,27.21408,31.84419,27.27221,32.96848,29.90152
gnb,Guinea-Bissau,67.84621,64.62755,62.58265,63.74058,60.1388,59.02108,57.38749,52.5209,52.21954,57.70224,49.6671,40.03805,63.29792,68.0993,57.94044,69.92348,67.48637,71.71472,70.11826,73.06706,59.274,62.67416,68.2191
gnq,Equatorial Guinea,65.00228,66.66708,89.47555,85.59784,85.36662,80.45033,73.27634,71.02786,69.18208,60.5746,67.13337,66.97314,62.57144,72.6155,72.70467,74.76306,74.39989,76.22952,75.54922,78.71637,76.98248,79.59232,72.92642
grc,Greece,38.3871,36.79362,39.54231,40.13621,41.37379,39.166,38.39067,36.66494,34.66556,31.66893,31.07613,34.11079,36.25057,37.7862,41.82204,40.72573,48.34553,47.65861,47.7019,51.10739,45.88138,40.64584,45.70148
grd,Grenada,63.76615,60.34007,54.82457,57.74961,50.78054,52.23837,56.79022,59.53724,59.35589,58.68645,60.82925,58.36457,58.8864,59.274,55.79726,58.04142,59.93927,59.25809,59.04361,58.51715,56.27175,55.91874,57.76314
